deck,nofGames,nOfPlayers,winRate
archers;arrows;baby-dragon;bandit;elixir-collector;golem;lightning;night-witch,130,32,0.48496
arrows;dark-prince;fireball;giant;inferno-dragon;mega-minion;mini-pekka;zap,157,19,0.54062
arrows;dark-prince;fireball;giant;mega-minion;musketeer;prince;zap,2883,468,0.54227
arrows;dark-prince;fireball;giant;mega-minion;prince;witch;zap,250,31,0.50198
arrows;dark-prince;giant;lightning;mega-minion;mini-pekka;musketeer;zap,123,14,0.57143
arrows;dark-prince;giant;mega-minion;minions;mini-pekka;poison;zap,149,13,0.57566
arrows;dart-goblin;fireball;goblin-barrel;goblin-gang;inferno-tower;princess;valkyrie,165,24,0.52679
arrows;dart-goblin;goblin-barrel;goblin-gang;knight;princess;rocket;tesla,643,75,0.54567
arrows;dart-goblin;goblin-barrel;goblin-gang;knight;rocket;tesla;the-log,323,38,0.57822
arrows;electro-wizard;elite-barbarians;minion-horde;rage;skeleton-army;valkyrie;wizard,149,16,0.53618
arrows;electro-wizard;elixir-collector;fireball;golem;inferno-dragon;lumberjack;night-witch,131,10,0.52239
arrows;electro-wizard;elixir-collector;goblin-gang;golem;inferno-dragon;lightning;night-witch,121,14,0.57661
arrows;electro-wizard;executioner;fireball;hog-rider;pekka;valkyrie;zap,114,17,0.54274
arrows;electro-wizard;executioner;goblin-gang;hog-rider;pekka;the-log;tornado,156,11,0.49371
arrows;electro-wizard;executioner;hog-rider;pekka;tornado;valkyrie;zap,227,40,0.52609
arrows;electro-wizard;freeze;hog-rider;inferno-tower;skeleton-army;valkyrie;wizard,171,24,0.49425
arrows;electro-wizard;goblin-barrel;goblin-gang;hog-rider;inferno-tower;skeleton-army;the-log,618,93,0.53221
arrows;electro-wizard;goblin-barrel;goblin-gang;inferno-tower;princess;rocket;valkyrie,273,43,0.51087
arrows;electro-wizard;goblin-barrel;goblin-gang;inferno-tower;rocket;skeleton-army;valkyrie,169,12,0.53488
arrows;electro-wizard;goblin-barrel;hog-rider;inferno-tower;princess;skeleton-army;valkyrie,247,36,0.516
arrows;electro-wizard;goblin-barrel;hog-rider;inferno-tower;skeleton-army;valkyrie;wizard,296,50,0.46488
arrows;electro-wizard;goblin-barrel;hog-rider;knight;skeleton-army;valkyrie;wizard,178,17,0.46961
arrows;electro-wizard;goblin-barrel;hog-rider;minion-horde;skeleton-army;valkyrie;wizard,165,23,0.48214
arrows;electro-wizard;goblin-barrel;inferno-tower;princess;rocket;skeleton-army;valkyrie,259,17,0.46756
arrows;electro-wizard;hog-rider;lightning;pekka;valkyrie;wizard;zap,114,16,0.55983
arrows;electro-wizard;hog-rider;lumberjack;pekka;the-log;valkyrie;wizard,119,13,0.47541
arrows;electro-wizard;hog-rider;pekka;poison;tesla;valkyrie;zap,122,11,0.508
arrows;elite-barbarians;fire-spirits;goblin-gang;hog-rider;skeleton-army;valkyrie;wizard,151,13,0.47403
arrows;elite-barbarians;fireball;freeze;hog-rider;minion-horde;skeleton-army;valkyrie,122,21,0.444
arrows;elite-barbarians;fireball;giant;minion-horde;skeleton-army;witch;wizard,153,13,0.50641
arrows;elite-barbarians;fireball;goblin-gang;hog-rider;minions;valkyrie;wizard,177,19,0.50278
arrows;elite-barbarians;fireball;hog-rider;minion-horde;prince;skeleton-army;zap,135,11,0.53986
arrows;elite-barbarians;fireball;hog-rider;minion-horde;rage;valkyrie;witch,138,12,0.57092
arrows;elite-barbarians;fireball;hog-rider;minion-horde;rage;valkyrie;wizard,131,25,0.54851
arrows;elite-barbarians;fireball;minion-horde;prince;rage;skeleton-army;wizard,142,28,0.45862
arrows;elite-barbarians;freeze;goblin-barrel;minion-horde;skeleton-army;valkyrie;wizard,265,15,0.4944
arrows;elite-barbarians;freeze;hog-rider;minion-horde;rocket;skeleton-army;wizard,476,19,0.49791
arrows;elite-barbarians;freeze;minion-horde;pekka;rocket;valkyrie;wizard,235,19,0.5063
arrows;elite-barbarians;furnace;hog-rider;minion-horde;rocket;skeleton-army;wizard,135,11,0.48913
arrows;elite-barbarians;furnace;lightning;mortar;musketeer;skeleton-army;the-log,2676,645,0.46174
arrows;elite-barbarians;giant;hog-rider;minion-horde;rage;skeleton-army;wizard,143,17,0.43493
arrows;elite-barbarians;giant;hog-rider;minion-horde;skeleton-army;valkyrie;wizard,230,15,0.51288
arrows;elite-barbarians;giant;minion-horde;rage;skeleton-army;sparky;wizard,289,25,0.53425
arrows;elite-barbarians;giant;minion-horde;rage;skeleton-army;valkyrie;witch,366,15,0.50678
arrows;elite-barbarians;giant;minion-horde;rage;skeleton-army;valkyrie;wizard,236,33,0.5
arrows;elite-barbarians;giant;minion-horde;rocket;skeleton-army;witch;wizard,208,20,0.47393
arrows;elite-barbarians;goblin-barrel;hog-rider;minion-horde;skeleton-army;the-log;wizard,191,16,0.50773
arrows;elite-barbarians;goblin-barrel;minion-horde;prince;skeleton-army;valkyrie;wizard,183,17,0.43817
arrows;elite-barbarians;goblin-gang;minion-horde;pekka;rage;wizard;zap,113,14,0.53879
arrows;elite-barbarians;goblin-gang;minion-horde;rocket;skeleton-army;valkyrie;wizard,235,14,0.5063
arrows;elite-barbarians;hog-rider;inferno-tower;rocket;skeleton-army;valkyrie;wizard,181,15,0.50272
arrows;elite-barbarians;hog-rider;inferno-tower;skeleton-army;valkyrie;wizard;zap,302,19,0.52459
arrows;elite-barbarians;hog-rider;lumberjack;minion-horde;skeleton-army;the-log;wizard,119,12,0.40164
arrows;elite-barbarians;hog-rider;mega-knight;minion-horde;rocket;skeleton-army;wizard,144,11,0.5068
arrows;elite-barbarians;hog-rider;minion-horde;mirror;prince;skeleton-army;wizard,151,11,0.46429
arrows;elite-barbarians;hog-rider;minion-horde;mirror;rocket;skeleton-army;wizard,122,13,0.484
arrows;elite-barbarians;hog-rider;minion-horde;poison;skeleton-army;valkyrie;wizard,122,10,0.484
arrows;elite-barbarians;hog-rider;minion-horde;prince;rocket;skeleton-army;wizard,399,25,0.53234
arrows;elite-barbarians;hog-rider;minion-horde;rage;rocket;skeleton-army;valkyrie,216,20,0.4863
arrows;elite-barbarians;hog-rider;minion-horde;rage;skeleton-army;the-log;wizard,202,27,0.5561
arrows;elite-barbarians;inferno-tower;minion-horde;prince;rocket;skeleton-army;wizard,221,10,0.5
arrows;elite-barbarians;inferno-tower;minion-horde;prince;rocket;valkyrie;wizard,119,10,0.4877
arrows;elite-barbarians;minion-horde;pekka;rocket;skeleton-army;valkyrie;wizard,140,21,0.46503
arrows;elite-barbarians;minion-horde;prince;rage;skeleton-army;valkyrie;witch,226,11,0.48035
arrows;elite-barbarians;minion-horde;prince;rocket;skeleton-army;valkyrie;wizard,242,31,0.50408
arrows;elite-barbarians;minion-horde;prince;skeleton-army;the-log;valkyrie;wizard,153,22,0.46154
arrows;elite-barbarians;minion-horde;prince;skeleton-army;valkyrie;witch;wizard,181,24,0.49728
arrows;elite-barbarians;minion-horde;rage;royal-giant;skeleton-army;valkyrie;wizard,203,21,0.51456
arrows;elite-barbarians;minion-horde;rage;skeleton-army;sparky;valkyrie;wizard,145,11,0.49662
arrows;elixir-collector;fireball;goblin-gang;golem;inferno-dragon;mega-minion;night-witch,133,13,0.54412
arrows;elixir-collector;giant;goblins;minion-horde;minions;sparky;zap,575,81,0.53201
arrows;elixir-collector;goblin-gang;golem;inferno-dragon;lightning;lumberjack;night-witch,119,30,0.4959
arrows;elixir-collector;goblin-gang;golem;lightning;lumberjack;mega-minion;night-witch,1090,163,0.52699
arrows;elixir-collector;goblin-gang;golem;lightning;lumberjack;minion-horde;night-witch,127,19,0.47308
arrows;elixir-collector;goblin-gang;golem;lumberjack;minion-horde;minions;three-musketeers,427,57,0.51744
arrows;elixir-collector;goblin-gang;golem;minion-horde;minions;prince;three-musketeers,161,11,0.46646
arrows;elixir-collector;golem;guards;lightning;lumberjack;mega-minion;night-witch,363,40,0.55601
arrows;elixir-collector;golem;inferno-dragon;lightning;mega-knight;mega-minion;night-witch,268,16,0.52214
arrows;elixir-collector;golem;lightning;lumberjack;mega-minion;minions;night-witch,207,24,0.6119
arrows;elixir-collector;golem;lightning;mega-minion;mini-pekka;night-witch;valkyrie,141,10,0.57292
arrows;elixir-collector;golem;lightning;mega-minion;night-witch;valkyrie;zap,226,11,0.49563
arrows;executioner;goblins;hog-rider;ice-spirit;knight;rocket;tornado,143,21,0.5
arrows;executioner;hog-rider;minion-horde;prince;rage;skeleton-army;wizard,155,10,0.49684
arrows;fire-spirits;goblin-barrel;goblin-gang;inferno-tower;knight;rocket;the-log,223,15,0.45133
arrows;fireball;freeze;giant-snowball;lightning;poison;rocket;zap,435,164,0.01712
arrows;fireball;freeze;giant-snowball;lightning;poison;the-log;zap,174,47,0.01977
arrows;fireball;freeze;giant;graveyard;lumberjack;minions;witch,1195,202,0.46619
arrows;fireball;freeze;lightning;poison;rocket;the-log;zap,227,108,0.01304
arrows;fireball;freeze;lightning;poison;the-log;tornado;zap,171,74,0.02874
arrows;fireball;furnace;hog-rider;minions;mini-pekka;musketeer;valkyrie,124,12,0.55512
arrows;fireball;giant-snowball;mirror;poison;the-log;tornado;zap,226,125,0.01528
arrows;fireball;giant;goblin-barrel;minion-horde;skeleton-army;valkyrie;witch,194,11,0.48477
arrows;fireball;giant;mega-minion;mini-pekka;musketeer;witch;zap,135,21,0.52899
arrows;fireball;giant;mega-minion;minions;mini-pekka;prince;zap,527,94,0.50283
arrows;fireball;giant;miner;minions;mini-pekka;witch;zap,147,19,0.51667
arrows;fireball;giant;mini-pekka;musketeer;valkyrie;witch;zap,305,21,0.50487
arrows;fireball;giant;minion-horde;rage;skeleton-army;valkyrie;wizard,139,13,0.52113
arrows;fireball;giant;minions;mini-pekka;musketeer;valkyrie;zap,233,25,0.56568
arrows;fireball;goblin-barrel;goblin-gang;hog-rider;inferno-tower;knight;wizard,175,11,0.51966
arrows;fireball;goblin-barrel;hog-rider;inferno-tower;skeleton-army;valkyrie;witch,132,24,0.46667
arrows;fireball;goblin-gang;hog-rider;inferno-tower;minion-horde;skeleton-army;valkyrie,161,15,0.54268
arrows;fireball;goblin-gang;hog-rider;inferno-tower;minion-horde;valkyrie;wizard,127,12,0.45385
arrows;fireball;goblin-gang;hog-rider;minions;mini-pekka;valkyrie;wizard,170,14,0.54046
arrows;fireball;hog-rider;inferno-tower;skeleton-army;valkyrie;witch;wizard,138,30,0.51773
arrows;fireball;hog-rider;minion-horde;mini-pekka;skeleton-army;valkyrie;wizard,174,24,0.45198
arrows;fireball;hog-rider;musketeer;pekka;tesla;valkyrie;zap,120,18,0.5
arrows;fireball;inferno-dragon;lava-hound;mega-minion;miner;skeleton-army;tombstone,180,21,0.53552
arrows;fireball;inferno-dragon;lava-hound;miner;minion-horde;minions;skeleton-army,153,11,0.53526
arrows;fireball;inferno-dragon;lava-hound;miner;minions;skeleton-army;tombstone,274,14,0.54332
arrows;fireball;inferno-dragon;lava-hound;miner;minions;tombstone;valkyrie,161,21,0.52134
arrows;fireball;inferno-tower;minion-horde;prince;skeleton-army;valkyrie;wizard,220,14,0.47982
arrows;fireball;inferno-tower;minion-horde;royal-giant;skeleton-army;valkyrie;wizard,152,11,0.53226
arrows;fireball;mirror;poison;rocket;the-log;tornado;zap,120,49,0.02439
arrows;freeze;goblin-barrel;hog-rider;inferno-tower;skeleton-army;valkyrie;wizard,450,48,0.51656
arrows;freeze;graveyard;ice-wizard;inferno-tower;knight;mega-minion;skeleton-army,750,171,0.48539
arrows;freeze;hog-rider;inferno-tower;knight;skeleton-army;valkyrie;wizard,231,17,0.52137
arrows;freeze;hog-rider;inferno-tower;mega-knight;valkyrie;witch;wizard,201,11,0.5049
arrows;freeze;hog-rider;inferno-tower;minion-horde;skeleton-army;valkyrie;wizard,390,36,0.50509
arrows;freeze;hog-rider;minion-horde;pekka;skeleton-army;the-log;wizard,116,16,0.45378
arrows;freeze;hog-rider;minion-horde;pekka;skeleton-army;valkyrie;wizard,227,33,0.48043
arrows;freeze;hog-rider;minion-horde;prince;skeleton-army;valkyrie;wizard,380,44,0.49086
arrows;freeze;minion-horde;pekka;skeleton-army;sparky;valkyrie;wizard,191,14,0.45876
arrows;furnace;guards;lightning;mega-minion;musketeer;royal-giant;the-log,114,17,0.64957
arrows;furnace;lightning;minions;musketeer;royal-giant;skeleton-army;the-log,990,113,0.50352
arrows;giant-skeleton;lumberjack;minion-horde;prince;skeleton-army;valkyrie;wizard,152,11,0.46452
arrows;giant;goblin-barrel;inferno-tower;minion-horde;skeleton-army;valkyrie;wizard,155,13,0.51266
arrows;giant;goblin-barrel;mega-minion;minion-horde;skeleton-army;sparky;zap,23268,4455,0.51863
arrows;giant;goblin-barrel;minion-horde;skeleton-army;sparky;wizard;zap,244,45,0.51215
arrows;giant;goblin-gang;minion-horde;skeleton-army;sparky;wizard;zap,158,38,0.60248
arrows;giant;hog-rider;minion-horde;rage;skeleton-army;valkyrie;wizard,175,24,0.45225
arrows;giant;hog-rider;minion-horde;rage;skeleton-army;witch;wizard,243,22,0.50407
arrows;giant;hog-rider;minion-horde;rocket;skeleton-army;valkyrie;wizard,167,12,0.43529
arrows;giant;ice-spirit;mega-minion;minion-horde;prince;sparky;zap,423,75,0.5493
arrows;giant;mega-minion;miner;minion-horde;skeleton-army;sparky;zap,131,49,0.50746
arrows;giant;mega-minion;mini-pekka;musketeer;poison;valkyrie;zap,185,19,0.5266
arrows;giant;mega-minion;minion-horde;skeleton-army;sparky;tornado;zap,120,37,0.50407
arrows;giant;mega-minion;minions;mini-pekka;skeleton-army;sparky;zap,166,13,0.59763
arrows;giant;minion-horde;musketeer;prince;skeleton-army;valkyrie;witch,168,10,0.53509
arrows;giant;minion-horde;musketeer;rage;skeleton-army;valkyrie;witch,264,26,0.55056
arrows;giant;minions;mini-pekka;musketeer;skeleton-army;sparky;zap,126,13,0.54264
arrows;giant;prince;rage;skeleton-army;valkyrie;witch;wizard,585,11,0.48639
arrows;goblin-barrel;goblin-gang;hog-rider;inferno-tower;knight;minions;the-log,120,12,0.53252
arrows;goblin-barrel;goblin-gang;hog-rider;inferno-tower;knight;skeleton-army;the-log,223,29,0.54646
arrows;goblin-barrel;goblin-gang;hog-rider;inferno-tower;rocket;skeleton-army;zap,444,47,0.52013
arrows;goblin-barrel;goblin-gang;hog-rider;inferno-tower;rocket;valkyrie;wizard,261,15,0.52462
arrows;goblin-barrel;goblin-gang;hog-rider;inferno-tower;the-log;valkyrie;wizard,249,18,0.53968
arrows;goblin-barrel;goblin-gang;hog-rider;minion-horde;skeleton-army;valkyrie;wizard,341,43,0.55523
arrows;goblin-barrel;goblin-gang;ice-spirit;inferno-tower;lightning;princess;valkyrie,210,43,0.51408
arrows;goblin-barrel;goblin-gang;ice-spirit;inferno-tower;princess;rocket;valkyrie,11139,1702,0.52127
arrows;goblin-barrel;goblin-gang;ice-spirit;princess;rascals;rocket;tesla,148,27,0.48344
arrows;goblin-barrel;goblin-gang;ice-spirit;princess;rascals;rocket;valkyrie,211,27,0.50234
arrows;goblin-barrel;goblin-gang;ice-spirit;princess;rocket;tesla;valkyrie,3183,495,0.54206
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;mega-knight;princess;rocket,509,93,0.50879
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;mega-knight;rocket;the-log,143,17,0.5137
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;miner;minion-horde;princess,153,33,0.54167
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;minion-horde;princess;rocket,552,43,0.49279
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;princess;rocket;skeleton-army,7287,729,0.52874
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;princess;rocket;skeletons,152,32,0.54839
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;princess;rocket;the-log,21243,2776,0.52699
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;princess;rocket;valkyrie,1328,194,0.51878
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;princess;rocket;zap,761,144,0.51963
arrows;goblin-barrel;goblin-gang;inferno-tower;knight;rocket;skeleton-army;the-log,834,107,0.5227
arrows;goblin-barrel;goblin-gang;inferno-tower;miner;princess;skeleton-army;the-log,625,67,0.51115
arrows;goblin-barrel;goblin-gang;inferno-tower;miner;skeleton-army;valkyrie;wizard,270,15,0.55128
arrows;goblin-barrel;goblin-gang;inferno-tower;mini-pekka;princess;rocket;skeleton-army,129,12,0.52273
arrows;goblin-barrel;goblin-gang;inferno-tower;minions;princess;rocket;valkyrie,272,50,0.58545
arrows;goblin-barrel;goblin-gang;inferno-tower;mirror;rocket;the-log;valkyrie,208,20,0.52844
arrows;goblin-barrel;goblin-gang;inferno-tower;princess;rascals;rocket;valkyrie,559,70,0.51335
arrows;goblin-barrel;goblin-gang;inferno-tower;princess;rocket;the-log;valkyrie,7282,1091,0.51277
arrows;goblin-barrel;goblin-gang;knight;princess;rocket;tesla;tornado,134,23,0.5438
arrows;goblin-barrel;goblin-gang;minion-horde;prince;skeleton-army;valkyrie;wizard,123,15,0.49206
arrows;goblin-barrel;goblin-gang;princess;rocket;skeleton-army;tesla;valkyrie,265,41,0.5541
arrows;goblin-barrel;hog-rider;ice-wizard;inferno-tower;skeleton-army;the-log;valkyrie,113,18,0.53017
arrows;goblin-barrel;hog-rider;inferno-tower;knight;princess;rocket;skeleton-army,139,40,0.49296
arrows;goblin-barrel;hog-rider;inferno-tower;musketeer;skeleton-army;valkyrie;zap,332,24,0.54328
arrows;goblin-barrel;hog-rider;inferno-tower;princess;rocket;skeleton-army;valkyrie,186,25,0.48413
arrows;goblin-barrel;hog-rider;minion-horde;mini-pekka;prince;skeleton-army;valkyrie,198,11,0.51244
arrows;goblin-barrel;hog-rider;minion-horde;musketeer;skeleton-army;valkyrie;wizard,183,23,0.48925
arrows;goblin-barrel;hog-rider;minion-horde;skeleton-army;spear-goblins;valkyrie;wizard,131,18,0.46642
arrows;goblin-barrel;ice-spirit;inferno-tower;princess;rocket;skeleton-army;valkyrie,236,47,0.50628
arrows;goblin-barrel;inferno-tower;mega-knight;minions;skeleton-army;valkyrie;wizard,235,23,0.5
arrows;goblin-barrel;inferno-tower;miner;minion-horde;skeleton-army;the-log;valkyrie,346,32,0.5702
arrows;goblin-gang;golem;knight;lightning;mega-minion;night-witch;zap,117,11,0.57083
arrows;goblin-gang;golem;lightning;lumberjack;mega-minion;night-witch;the-log,213,19,0.51157
arrows;goblin-gang;golem;lightning;mega-minion;mini-pekka;night-witch;the-log,713,56,0.5419
arrows;goblin-gang;golem;lightning;mega-minion;night-witch;the-log;tombstone,269,12,0.54044
arrows;goblin-gang;hog-rider;inferno-tower;knight;princess;rocket;the-log,244,47,0.56073
arrows;goblin-gang;hog-rider;inferno-tower;skeleton-army;the-log;valkyrie;wizard,397,14,0.5525
arrows;goblin-gang;hog-rider;mega-knight;minion-horde;rage;skeleton-army;wizard,148,11,0.47351
arrows;goblin-gang;inferno-dragon;lava-hound;lightning;mega-minion;miner;tombstone,181,24,0.56793
arrows;goblin-gang;inferno-dragon;lava-hound;mega-minion;miner;poison;tombstone,290,10,0.53754
arrows;goblin-gang;lava-hound;lightning;lumberjack;mega-minion;minions;tombstone,132,12,0.54815
arrows;goblin-gang;miner;minion-horde;mortar;rascals;spear-goblins;zap,141,21,0.56597
arrows;golem;inferno-dragon;lightning;lumberjack;mega-minion;night-witch;tombstone,135,11,0.46739
arrows;golem;inferno-dragon;miner;minion-horde;minions;night-witch;the-log,249,10,0.52976
arrows;golem;lumberjack;mega-minion;mini-pekka;night-witch;poison;zap,246,19,0.50402
arrows;golem;minion-horde;prince;skeleton-army;valkyrie;witch;wizard,238,16,0.46058
arrows;guards;inferno-dragon;lava-hound;mega-minion;miner;poison;tombstone,435,37,0.53082
arrows;hog-rider;inferno-tower;lightning;mini-pekka;the-log;valkyrie;wizard,151,10,0.51623
arrows;hog-rider;inferno-tower;mega-knight;minion-horde;skeleton-army;valkyrie;wizard,473,45,0.47374
arrows;hog-rider;inferno-tower;prince;rocket;skeleton-army;valkyrie;wizard,207,14,0.49048
arrows;hog-rider;lumberjack;minion-horde;prince;rocket;skeleton-army;wizard,283,10,0.48951
arrows;hog-rider;mega-knight;minion-horde;skeleton-army;valkyrie;wizard;zap,115,20,0.49153
arrows;hog-rider;minion-horde;pekka;rage;rocket;skeleton-army;wizard,313,13,0.48734
arrows;hog-rider;minion-horde;prince;rage;skeleton-army;witch;wizard,133,25,0.5
arrows;hog-rider;minion-horde;prince;skeleton-army;valkyrie;witch;wizard,768,63,0.48379
arrows;hog-rider;minions;pekka;skeleton-army;valkyrie;wizard;zap,251,32,0.49409
arrows;inferno-dragon;lava-hound;lightning;mega-minion;skeleton-army;tombstone;zap,123,10,0.52778
arrows;inferno-dragon;lava-hound;mega-minion;miner;minion-horde;skeleton-army;the-log,1725,511,0.48438
arrows;inferno-dragon;lava-hound;mega-minion;miner;poison;the-log;tombstone,163,15,0.50301
arrows;inferno-dragon;lava-hound;mega-minion;miner;skeleton-army;the-log;tombstone,143,11,0.50342
arrows;lava-hound;lightning;mega-minion;miner;minions;night-witch;tombstone,113,20,0.58621
arrows;minion-horde;pekka;prince;rocket;skeleton-army;valkyrie;wizard,181,22,0.48913
arrows;minion-horde;prince;rage;skeleton-army;the-log;valkyrie;wizard,145,19,0.52365
baby-dragon;balloon;bandit;bats;rage;skeleton-army;valkyrie;wizard,271,27,0.51825
baby-dragon;balloon;bandit;minion-horde;rage;skeleton-army;valkyrie;wizard,234,50,0.40928
baby-dragon;balloon;barbarian-barrel;bowler;freeze;guards;lumberjack;tornado,299,111,0.46192
baby-dragon;balloon;barbarian-barrel;bowler;freeze;ice-wizard;inferno-dragon;lumberjack,130,50,0.56015
baby-dragon;balloon;barbarian-barrel;freeze;furnace;lumberjack;mega-minion;skeleton-army,124,23,0.60236
baby-dragon;balloon;barbarian-barrel;freeze;giant-skeleton;hunter;lumberjack;tornado,117,27,0.52083
baby-dragon;balloon;barbarian-barrel;freeze;giant-skeleton;ice-wizard;mega-minion;tornado,374,160,0.38859
baby-dragon;balloon;barbarian-barrel;freeze;guards;inferno-dragon;lumberjack;tornado,192,69,0.45128
baby-dragon;balloon;barbarian-barrel;freeze;hog-rider;skeleton-army;valkyrie;wizard,147,21,0.50667
baby-dragon;balloon;bats;fireball;miner;skeleton-army;valkyrie;wizard,124,14,0.48819
baby-dragon;balloon;bats;fireball;minion-horde;rage;skeleton-army;valkyrie,127,10,0.51538
baby-dragon;balloon;bats;freeze;rage;skeleton-army;valkyrie;wizard,155,26,0.43987
baby-dragon;balloon;bats;freeze;skeleton-army;valkyrie;witch;wizard,372,38,0.488
baby-dragon;balloon;bats;giant-skeleton;rage;valkyrie;witch;wizard,137,17,0.51429
baby-dragon;balloon;bats;goblin-barrel;skeleton-army;valkyrie;witch;wizard,134,19,0.5365
baby-dragon;balloon;bats;hog-rider;rage;skeleton-army;valkyrie;wizard,413,55,0.52524
baby-dragon;balloon;bats;hog-rider;skeleton-army;valkyrie;witch;wizard,221,23,0.46652
baby-dragon;balloon;bats;lumberjack;skeleton-army;the-log;valkyrie;wizard,130,26,0.49248
baby-dragon;balloon;bowler;freeze;inferno-dragon;lumberjack;the-log;tornado,2228,612,0.49843
baby-dragon;balloon;bowler;freeze;inferno-dragon;lumberjack;tombstone;tornado,148,12,0.48013
baby-dragon;balloon;clone;fireball;inferno-dragon;lava-hound;mega-minion;minion-horde,118,10,0.54132
baby-dragon;balloon;clone;giant-skeleton;minion-horde;rage;skeleton-army;wizard,197,24,0.5
baby-dragon;balloon;clone;minion-horde;rage;skeleton-army;valkyrie;witch,173,13,0.48011
baby-dragon;balloon;clone;minion-horde;skeleton-army;valkyrie;witch;wizard,144,26,0.46259
baby-dragon;balloon;electro-wizard;fireball;minion-horde;rage;skeleton-army;wizard,263,16,0.49436
baby-dragon;balloon;electro-wizard;minion-horde;rage;skeleton-army;valkyrie;wizard,171,29,0.49138
baby-dragon;balloon;electro-wizard;rage;skeleton-army;valkyrie;witch;wizard,120,31,0.5
baby-dragon;balloon;executioner;fireball;minion-horde;rage;skeleton-army;wizard,156,10,0.44969
baby-dragon;balloon;fireball;flying-machine;guards;lava-hound;tombstone;zap,114,36,0.44872
baby-dragon;balloon;fireball;freeze;minions;skeleton-army;valkyrie;wizard,131,30,0.50373
baby-dragon;balloon;fireball;giant;goblin-gang;lumberjack;mega-minion;zap,229,10,0.53448
baby-dragon;balloon;fireball;goblin-barrel;minion-horde;skeleton-army;valkyrie;witch,152,23,0.48065
baby-dragon;balloon;fireball;goblin-barrel;rage;skeleton-army;valkyrie;wizard,159,16,0.50617
baby-dragon;balloon;fireball;goblin-gang;inferno-dragon;lava-hound;minions;zap,447,33,0.54556
baby-dragon;balloon;fireball;goblin-gang;lava-hound;mega-minion;mini-pekka;zap,187,24,0.58158
baby-dragon;balloon;fireball;guards;inferno-dragon;lava-hound;miner;zap,269,25,0.53125
baby-dragon;balloon;fireball;guards;inferno-dragon;lava-hound;minions;zap,148,34,0.54636
baby-dragon;balloon;fireball;guards;lava-hound;mega-minion;miner;zap,158,48,0.54658
baby-dragon;balloon;fireball;guards;lava-hound;mega-minion;tombstone;zap,9626,2288,0.50893
baby-dragon;balloon;fireball;hog-rider;inferno-dragon;rage;skeleton-army;valkyrie,133,10,0.49265
baby-dragon;balloon;fireball;hog-rider;lumberjack;skeleton-army;valkyrie;wizard,207,25,0.43571
baby-dragon;balloon;fireball;hog-rider;minion-horde;rage;skeleton-army;valkyrie,193,34,0.49745
baby-dragon;balloon;fireball;hog-rider;minion-horde;skeleton-army;valkyrie;witch,282,22,0.46491
baby-dragon;balloon;fireball;inferno-dragon;lava-hound;mega-minion;valkyrie;zap,348,54,0.52422
baby-dragon;balloon;fireball;inferno-dragon;minion-horde;rage;valkyrie;wizard,209,14,0.47642
baby-dragon;balloon;fireball;inferno-dragon;rage;skeleton-army;valkyrie;wizard,182,26,0.51351
baby-dragon;balloon;fireball;inferno-tower;lumberjack;skeleton-army;valkyrie;zap,153,23,0.45833
baby-dragon;balloon;fireball;lava-hound;mega-minion;miner;tombstone;zap,127,53,0.46154
baby-dragon;balloon;fireball;lava-hound;minions;skeleton-army;tombstone;zap,216,41,0.44521
baby-dragon;balloon;fireball;lava-hound;minions;tombstone;valkyrie;zap,511,91,0.56226
baby-dragon;balloon;fireball;lumberjack;mega-minion;tombstone;valkyrie;zap,133,15,0.54412
baby-dragon;balloon;fireball;miner;minion-horde;rage;skeleton-army;valkyrie,118,10,0.5
baby-dragon;balloon;fireball;miner;rage;skeleton-army;valkyrie;wizard,203,15,0.51699
baby-dragon;balloon;fireball;mini-pekka;musketeer;rage;skeleton-army;valkyrie,189,12,0.49219
baby-dragon;balloon;fireball;minion-horde;prince;rage;skeleton-army;witch,193,26,0.5
baby-dragon;balloon;fireball;minion-horde;prince;skeleton-army;valkyrie;wizard,901,75,0.47566
baby-dragon;balloon;fireball;minion-horde;prince;valkyrie;witch;wizard,123,15,0.51587
baby-dragon;balloon;fireball;minion-horde;rage;skeleton-army;the-log;wizard,152,11,0.52581
baby-dragon;balloon;fireball;musketeer;prince;rage;skeleton-army;valkyrie,233,14,0.44703
baby-dragon;balloon;fireball;prince;skeleton-army;valkyrie;wizard;zap,128,11,0.46947
baby-dragon;balloon;fireball;rage;skeleton-army;spear-goblins;valkyrie;witch,195,13,0.4899
baby-dragon;balloon;freeze;hog-rider;inferno-dragon;skeleton-army;valkyrie;wizard,121,10,0.45968
baby-dragon;balloon;freeze;inferno-tower;minion-horde;skeleton-army;valkyrie;wizard,159,22,0.48457
baby-dragon;balloon;freeze;lumberjack;minion-horde;skeleton-army;valkyrie;zap,175,13,0.55899
